date,temperature_C,precipitation_mmd,pet_mmd,streamflow_mmd,aet_mm,SM_%
1981-01-01,4.99425795262627,0.51,0.95933113201583,0.4,0.621852410897132,0.2087009436162109
1981-01-02,7.05369049486423,0.61,0.768962813511141,0.39,0.574529489442225,0.2154102569683026
1981-01-03,6.84737337855653,0.08,1.22380393637415,0.38,1.21153380361296,0.220443939040631
1981-01-04,2.86951041315298,0.02,0.93362999061693,0.36,0.943395867943764,0.2174640166648526
1981-01-05,1.13643401186688,1.22,0.416193009551721,0.35,0.609250871404525,0.215892913810168
1981-01-06,2.73086784302866,3.2,0.315769583915428,0.36,0.375537826649604,0.214659959270602
1981-01-07,1.19864499372319,0.95,0.164730690247106,0.36,0.320385805060787,0.2096709095714086
1981-01-08,5.02505263811762,0.05,0.259086371867154,0.36,0.251999972087722,0.2047410791735973
1981-01-09,5.3223392100861,0.0,0.348963774286522,0.36,0.131648796941004,0.1998592389924396
1981-01-10,2.11374303070854,0.66,0.47609424301604,0.36,0.488460244190308,0.196171385784093
1981-01-11,1.7570251359064,0.44,0.326457871624051,0.35,0.753205185455661,0.1947618376938663
1981-01-12,3.10689141925959,2.6,0.616223332330564,0.39,0.323353227107756,0.1928282597768693
1981-01-13,1.37143435896225,1.75,0.90456075304747,0.36,0.757794707052169,0.2072453536876687
1981-01-14,3.95168078615805,1.79,0.729742411364507,0.38,0.295761383829578,0.2077751602489363
1981-01-15,1.35417257140237,0.01,0.595005788601529,0.38,1.57632979173814,0.2021150776501313
1981-01-16,0.428732885805449,6.01,0.184168466065139,0.4,0.542890707090978,0.2080057518615823
1981-01-17,3.41164502012986,0.67,0.391474637495149,0.46,0.13328856758533,0.2090450106487166
1981-01-18,2.01132733048174,2.56,0.106459352702346,0.48,0.669375879149283,0.2077743943704306
1981-01-19,4.17600752149008,1.53,0.570504238554087,0.52,0.13369782076728,0.204070418331338
1981-01-20,3.46471741666663,10.78,0.312017901244984,0.59,0.790567323565483,0.201274940020002
1981-01-21,6.28293250953136,0.15,0.322993953861766,1.46,0.301799754942617,0.199530074981475
1981-01-22,8.17045708393089,0.03,0.273009007694395,0.86,0.222714125148712,0.2009625061534556
1981-01-23,8.25683719743949,0.0,0.158371762960742,0.67,0.117579799505972,0.2025239976992556
1981-01-24,6.29838242974039,0.0,0.507863700040053,0.58,0.139450744515465,0.1998789891232816
1981-01-25,5.52703201406304,0.03,0.485396182947726,0.52,0.498445560374568,0.1980049507464466
1981-01-26,6.72792558928144,0.11,0.207772345040308,0.48,0.365343894208631,0.2037717526595883
1981-01-27,6.6760322387908,0.0,0.257419437509602,0.45,0.214867077527508,0.2081303879656546
1981-01-28,5.77047931181885,0.0,0.346018908206358,0.43,0.154123455286026,0.207787691016214
1981-01-29,5.58379856664545,0.02,0.280674248479619,0.43,0.262829156652574,0.2087518553639996
1981-01-30,4.56892916140506,0.0,0.295112983647352,0.42,0.206434750749219,0.2061140060420456
1981-01-31,3.2351596499128,0.0,0.29018355271413,0.41,0.242230764800502,0.210111338421917
1981-02-01,4.51182614944058,0.0,0.693800575644015,0.4,0.229895523478908,0.215986297096605
1981-02-02,5.72735610181102,7.84,0.679068644087746,0.44,0.548580306912622,0.213239718936061
1981-02-03,6.67089406442499,2.19,0.943348307214372,0.52,0.542657702199874,0.20801556422653
1981-02-04,3.97544001394732,0.01,0.917589478971326,0.49,1.29776981569106,0.2069216855545367
1981-02-05,5.31078049936188,0.01,0.661032646004355,0.44,0.697067403985608,0.2111312015172476
1981-02-06,9.19264841370012,0.62,0.90721127747302,0.4,0.470153927322357,0.2148256709209716
1981-02-07,9.41071659362663,0.57,1.05512788985609,0.4,0.37860747186407,0.2122921976774916
1981-02-08,7.80056040785818,14.37,0.63143702413199,0.5,0.561897174244927,0.2094608153134246
1981-02-09,3.63995023257422,14.47,0.0922005002381694,3.06,0.462010683071229,0.2025722998637173
1981-02-10,1.91753725079834,0.04,0.590093322243341,1.47,0.516026431033688,0.1984436581839666
1981-02-11,0.315446967388713,0.04,0.538467811410658,0.92,0.668044424345416,0.1997350599281796
1981-02-12,2.2794590759739,0.01,0.487291730524443,0.74,0.366599917892487,0.20054594182847
1981-02-13,1.09030860885083,0.0,0.670135622857563,0.65,0.286269055739526,0.202819767749157
1981-02-14,-0.0406482423899245,0.0,0.490674951493332,0.61,0.532857538951981,0.1994582119483263
1981-02-15,0.437154871333196,0.0,0.570566716830076,0.56,0.422380456039982,0.197868674118177
1981-02-16,2.85476851684516,0.0,0.35852625192197,0.53,0.259311076614165,0.1955253698550633
1981-02-17,2.99992634190424,0.0,0.407039736557949,0.5,0.227048524445103,0.1943031573056416
1981-02-18,1.48718262978974,0.04,0.546116729393725,0.49,0.307141977452463,0.1952877930988026
1981-02-19,1.35603549977885,0.05,0.608937022830254,0.47,0.402445454270609,0.1943564858716663
1981-02-20,0.499443644676306,0.13,0.566693247110942,0.47,0.570202576777627,0.1920269549852056
