gridcode,Lp,Lp_lower_CI,Lp_higer_CI,gamma,gamma_low,gamma_high,R2
1,,,,,,,
10,0.2375447891753699,0.23420641614761672,0.24093074729774067,0.8542475025891109,0.8190469274963433,0.8894480776818784,0.5836991956527389
100,0.4573398313932741,0.3828811268994665,0.5462784835402652,0.5000000000000001,0.5,0.681540988736818,0.7671387634961866
1000,0.2216894181330903,0.22025903240862554,0.22312909293550284,1.5093053002345198,1.479225018505365,1.5393855819636746,0.655582717234797
1001,0.22857519822327346,0.22716925007906474,0.2299898477660364,1.8314895214028482,1.7951487730152822,1.867830269790414,0.6353708526025985
1002,0.2404238366506711,0.2386540815202857,0.24220671551730932,1.7604319401702582,1.733674103738095,1.7871897766024214,0.8171489956645469
1003,0.2267994595499237,0.22537035512804596,0.2282376261195159,1.973401364629668,1.9450976745048296,2.0017050547545066,0.812987356498234
1004,0.2619016620617567,0.2602145705677648,0.263599691750727,2.2392785576599463,2.199713367233663,2.2788437480862296,0.7379013092208627
1005,0.25047342969964226,0.24873226687490538,0.2522267809228541,2.4499330685909992,2.400335745203824,2.4995303919781744,0.6601441072927945
1006,0.23495260088184594,0.23185697969481406,0.23808955302447907,1.7413986206310497,1.6985093503579314,1.784287890904168,0.7463731428382682
1007,0.2796176920203314,0.2754145053674875,0.2838850248154239,1.7880169777124333,1.74180750057661,1.8342264548482565,0.7164506726786799
1008,0.2556916593007939,0.25402538736453795,0.2573688610980152,2.3848447034254825,2.345928281642796,2.423761125208169,0.6948990587976771
1009,0.22434565225639916,0.22192593723895582,0.22679175004297025,2.0750719038064385,2.016450915290678,2.1336928923221987,0.6828689723688071
101,0.43708784967116426,0.372874428075136,0.5123595879620515,0.9211611106464568,0.6581913504280632,1.1841308708648504,0.6420013538651412
1010,0.3262060391733103,0.32284640588760494,0.3296006337768702,0.6528587122894298,0.6200159990472015,0.6857014255316581,0.6713935281206211
1011,0.2747340812535344,0.2657899156433158,0.28397922930798675,0.5000000000000002,0.5,0.5779915092465147,0.4065669356769286
1012,0.2932743113443447,0.2904909911150731,0.2960842997724094,0.8873073978403851,0.8497902482190939,0.9248245474616764,0.6205981098061464
1013,0.2880484454725564,0.28639171689183074,0.2897147579533333,1.6591631869452743,1.5815608217226826,1.736765552167866,-0.0865434788703463
1014,0.27770154151399984,0.27588126190000684,0.27953383143217336,1.3222578258598061,1.178624488011578,1.4658911637080343,0.30345218809415386
1015,0.29236375366000095,0.2903706962968977,0.2943704910455833,1.5024778898862141,1.3785963398076022,1.626359439964826,-0.6513547893607572
1016,0.2804581257530674,0.2773415775527686,0.28360969528976465,1.3771950107513455,1.1628785585827004,1.5915114629199907,-0.45882210603598095
1017,0.27292959076627543,0.2698736401336092,0.2760201458688879,1.3158345651129337,1.1350991299925475,1.49657000023332,-0.5785939034810537
1018,0.2753283886157716,0.27368296208558784,0.27698370771816955,1.4766648888951288,1.3138008603070566,1.639528917483201,-0.09042361616165029
1019,0.27269664403776006,0.2707533033806532,0.27465393308575414,1.2187988749684624,1.0678891490560718,1.369708600880853,-0.15545084734819192
102,0.7497718495403509,0.42544133170546866,1.0,0.5000010271205682,0.5,0.760460058265972,0.5954895919222807
1020,0.33074708594989405,0.32784068275628514,0.3336792552548129,2.1625548353230832,1.8211101804299956,2.5039994902161706,-0.49432676680633736
1021,0.30956629267119073,0.30763905823797083,0.3115056004496544,1.4295184347746537,1.3964531309677455,1.4625837385815619,0.7211115497835003
1022,0.3306995266435176,0.32781031556964707,0.3336142022626843,1.2599429498814172,1.1938737418458312,1.3260121579170032,0.6205073365426257
1023,0.25299603090949146,0.25057904093556294,0.2554363342479865,1.0490241469236943,1.0181063872039604,1.0799419066434282,0.7115382730304032
1024,0.2922574642661853,0.2909278777646429,0.2935931271887249,1.5513162379515717,1.4875629278722722,1.6150695480308712,-0.20573062751614635
1025,0.2366475928399103,0.23432929364174943,0.2389888277585211,0.8933968865480961,0.8673729625330416,0.9194208105631506,0.7197385947899917
1026,0.2484417432404487,0.24639975399986944,0.2505006550630961,1.0987781465883197,1.062722955445701,1.1348333377309385,0.686805910794021
1027,0.2362671631206447,0.23417568118284052,0.23837732460994654,1.161682810390909,1.1378545765853572,1.1855110441964607,0.717043498025354
1028,0.23306339101479231,0.231007278951837,0.23513780378599636,1.2196728493174844,1.1960423995128664,1.2433032991221025,0.7115678171978729
